Data Taken from https://www.kaggle.com/datasets/threnjen/board-games-database-from-boardgamegeek?resource=download&select=games.csv,,,
About Board Game Categories and Rankings,,,
Modified/Transformed/Cleaned by Sarah Cannon,,,
For CSCI 36,Fall 2024, Claremont McKenna College,
10625,Håtunaleken,4.58537,War
10626,Pacific War Classics Vol 1: Tarawa & Saipan,4.63889,War
10630,Memoir '44,7.55955,War
10631,Age of Heroes,5.83617,Other
10634,Napoleon and the Archduke Charles: The Battle of Abensberg,6.08295,War
10640,Doom: The Boardgame,6.86082,Thematic
10641,"Barbarossa: Army Group South, 1941",7.97587,War
10642,"Barbarossa: Army Group North, 1941",7.99091,War
10651,Deflection,5.76286,Abstract
10653,Pirates of the Spanish Main,6.08275,CGS
10659,Hex Hex,5.82686,Party
10660,Micropul,6.76573,Abstract
10662,Victoria Cross: The Battle of Rorke's Drift,7.02505,War
10668,Panzer Grenadier: Desert Rats,6.95708,War
10672,"Easy Come, Easy Go",5.91846,Family
10673,Monopoly: America Special Edition,5.21708,Other
10676,Star Frontiers: Knight Hawks,6.43267,War
10679,A Fearful Slaughter: The Battle of Shiloh,7.68468,War
10681,Apples to Apples Junior,5.82715,Childrens
10683,SEEKRIEG 5,8.36897,War
10687,Tipsy Tower,4.93938,Other
10688,Advanced Dungeons & Dragons Battlesystem Skirmishes,5.28545,War
10707,Hacker: Deluxe Edition,6.31,Thematic
10712,Bondespelet,4.41019,Family
10715,CSI: Crime Scene Investigation – The Board Game,3.89829,Other
10716,Kemps,5.93317,Other
10718,The Garden Game,5.91053,Other
10742,Foxy,5.74198,Abstract
10744,Corx,5.05172,Other
10753,Ações Exame,6.44,Other
10756,Dancing Dice,5.72425,Family
10757,Marco Polo: Dragonda,5.92391,Other
10765,Geist,5.77692,Other
10769,Herzlos,5.2,Other
10776,Sword & Shield,6.39886,War
10780,The Powerpuff Girls: Mojo Jojo Attacks Townsville Game,6.17273,Childrens
10783,The Official Dealer McDope Dealing Game,7.24302,Other
10785,D-Day: The Great Crusade,6.51136,War
10788,Hellenes: Campaigns of the Peloponnesian War,7.43394,War
10789,Pitch,6.76627,Other
10793,"Civil War Classics, Volume 1: The Battles of Pea Ridge & Shiloh",3.19697,War
10797,Hoorah!,6.204,War
10799,Old Maid,3.64365,Childrens
10802,Somethin' Fishy,5.7149,Other
10805,A Dark and Bloody Ground,5.51939,War
10807,Fishing for Terrorists,4.92955,Other
10808,BSZZZZ!,4.60056,Other
10809,Immer oben auf!,5.97097,Other
10811,"Piraten, Planken & Peseten",5.36538,Other
10813,Aya,5.53556,Abstract
10814,Dawn Under,6.35537,Family
10820,Master,5.85,Other
10822,The Seven Years World War,6.82021,War
10829,Krieg! World War II in Europe,6.50431,War
10831,Vapor's Gambit,4.79175,Other
10836,Moguli,6.11604,Abstract
10842,Insel der Schmuggler,5.90513,Other
10855,Le Paresseux,5.98333,Other
10878,Visual Game,6.00691,Other
10880,Calciomania,6.59818,Other
10884,White Bear & Red Moon,7.49254,War
10885,Royalists & Roundheads II,5.74565,War
10889,Akron,7.14118,Abstract
10890,Behind,7.01852,CGS
10898,Tricky Fingers,6.0625,Abstract
10904,New Rules for Classic Games,7.48615,Other
10906,Beggars and Thieves,6.20373,Other
10908,Minotaur Lords,5.95137,Strategy
10912,Jumpin' Java,4.8439,Abstract
10914,Hannibal: Rome and Carthage in The Second Punic War 219-202 B.C.,6.77576,War
10915,Simply Suspects,5.52965,Other
10916,Spearhead,6.6675,War
10917,Don't  Quote Me,5.49412,Other
10925,Tumbling Tower,5.09645,Other
10934,The Game of Things,6.08069,Party
10946,The American Civil War,5.9748,War
10947,Master Thieves,6.53788,Party
10949,La Maldición del Templo Cristal,5.37429,Other
10960,Swärje,5.48043,Other
10962,Smugglers of the Galaxy,5.63742,Other
10964,"April's Harvest: The Battle of Shiloh, April 6 & 7, 1862",7.13007,War
10966,Battle Rider,5.96774,War
10968,Crash Canyon,6.2062,Other
10971,Board and Table Games from Many Civilizations,7.47806,Other
10973,Dice Games Properly Explained,6.7574,Other
10986,"Borodino: Battle of the Moskova, 1812",6.72403,War
10989,ConHex,6.835,Abstract
10995,Reinforce the Right!,6.71111,War
10996,Zarcana,6.9375,Abstract
10997,Boomtown,6.52866,Family
10998,Word Jam,5.84225,Other
10999,Abracadabra,5.31261,Other
11001,Mister Bill,5.20862,Other
11002,Farfalia,6.06117,Other
11011,Ancient Conquest,6.57041,War
11027,Reich: The Iron Dream of German Unification,6.32576,War
11028,Lotto,3.72406,Other
11030,Sherco's Grand Slam Baseball Game,7.36271,Other
11037,El Capitán Alatriste,5.12128,Other
11038,Fiasco,7.01058,Other
11047,Barbarossa: Game of the Russo-German War 1941-45,5.3641,War
11050,Bastogne or Bust (Second Edition),7.44167,War
11052,BRIDG-IT,5.18795,Abstract
11054,Four Battles in North Africa,6.58987,Other
11056,Fantasy Rules! Fast Play Rules for Miniature Wargames in the Worlds of Fantasy,6.87879,War
11057,The Great Battles of Alexander: Deluxe Edition,7.69826,War
11060,Normandy: The Invasion of Europe 1944,5.99429,War
11071,Austin Poker,5.66765,Other
11083,Moby Pick,5.51364,Other
11084,Jumbo & Co,5.92764,Other
11085,Packen Wir's!,6.11225,Other
11091,Leuthen: Frederick's Greatest Victory,8.04214,War
11093,Zorndorf,7.52981,War
11096,Tahuantinsuyu,7.1923,Strategy
11106,"Warhammer 40,000: Rogue Trader",6.839,War
11110,A Famous Victory,6.47468,War
11111,"Red Star/White Eagle: The Russo-Polish War, 1920",7.64178,War
11112,Rommel at Gazala,5.82857,War
11113,Rommel in North Africa: The War in the Desert 1941-42,6.82807,War
11115,Saipan,5.34091,War
11116,Yarmuk,6.10244,War
11121,"Operation Shock Troop: The Israeli Counterstroke Against Syria, 1973",5.74,War
11122,Proud Monster: The Barbarossa Campaign,7.24342,War
11124,Operation Sea Lion,6.34773,War
11125,The Marne: Home Before the Leaves Fall,6.26512,War
11126,Moscow 1941: The Enemy at the Gates,5.97945,War
11127,"Kursk: Operation Zitadelle, 4 July 1943",6.12727,War
11129,"Krim: von Manstein's Battles for Sevastopol, 1941-1942",6.38548,War
11131,Hell Before Night: The Battle of Shiloh,6.29167,War
11132,Hitler's Last Gamble,6.73582,War
11135,Balkans 1941,6.58772,War
11136,End of Empire: The French and Indian War and the American Revolution,6.013,War
11138,Tank Command,5.13333,War
11139,"Bloody April: The Battle of Shiloh, 1862",6.89583,War
11147,Ea$y Money,5.13292,Other
11149,It from the Pit,6.12627,Other
11159,Dungeoneer: Haunted Woods of Malthorin,6.27661,Thematic
11160,Think: Memo Crime,6.05294,Other
11161,Dungeoneer: Den of the Wererats,6.29451,Thematic
11166,Brandywine & Germantown,7.71053,War
11167,Brain Quest,4.46841,Childrens
11168,Flames of War: The World War II Miniatures Game,7.0996,War
11177,Cardmaster: Adventure Design Deck,6.01087,Other
11179,Semper Victor,7.585,War
11182,Super Scrabble,6.37841,Family
11187,Advanced Dungeons & Dragons Battlesystem,5.63562,War
11188,Superstar Pro Wrestling Game,7.35448,Other
11195,Karottenklau,5.68959,Childrens
11200,Cashflow for Kids,4.66364,Other
11202,The First World War,6.09192,War
11208,Hopple-Popple,5.48212,Childrens
11215,Numeri,5.58537,Other
11229,Star Wars Miniatures,6.88735,CGS
11231,Snorta!,6.10625,Family
11235,Golf the Perfect Game,5.84918,Other
11241,"The Cossacks Are Coming!: The Tannenberg Campaign, 1914",7.01935,War
11248,The Vampire Game,4.34262,Other
11253,Okinawa: The Bloodiest Battle In The Pacific,5.89318,War
11258,Abagio,5.49898,Abstract
11262,Monopoly: NFL Official,5.23542,Other
11265,Wellington: The Peninsular War 1812-1814,6.93056,War
11269,Roads to Leningrad,7.5179,War
11274,Devil's Horsemen,7.39777,War
11278,Trajan: Ancient Wars Series,7.71818,War
11283,1895 Namibia,6.76493,Strategy
11284,1862,7.34783,Other
11287,Quantum,7.61129,Abstract
11289,Operation Whirlwind: Budapest – November 1956,6.52333,War
11292,Blood & Steel,5.78115,War
11293,Algeria: The War of Independence 1954-1962,6.91964,War
11320,Samurai,6.1087,Abstract
11330,Jass,7.03907,Other
11339,Korea '95,6.50806,War
11347,Seega,5.65556,Abstract
11351,Demyansk Pocket,5.99167,War
11357,Brewhouse Bash,6.21525,Other
11370,The Civil War,2.91288,War
11373,Autumn of Glory,6.71887,War
11388,Armati 2nd Edition: Rules and Lists for Ancient and Medieval Wargaming,7.9375,War
11393,Tummy Ache,5.10204,Childrens
11394,Shopping List,5.61765,Childrens
11396,Dragon Master,6.36577,Abstract
11399,Black Gold (Texas Tea),6.54896,War
11402,Antietam Campaign,5.7871,War
11404,LetterFlip,5.84381,Other
11407,Matching Madness,5.85172,Other
11408,Monopoly: United States Navy,5.15,Other
11412,Wallamoppi,5.87832,Other
11413,Squint Junior,5.9268,Childrens
11414,Politics as Usual,5.73897,Other
11415,Warriors,5.00886,War
11421,Uisge,6.15116,Abstract
11428,Supermarina I: Command at Sea Volume II,7.5931,Other
11429,The Rising Sun: Command at Sea Volume I,7.34253,War
11432,Harpoon 4: Modern Tactical Naval Warfare,7.41611,War
11433,Operation Spark: the Relief of Leningrad 1943,6.81579,War
11435,Lee Takes Command,6.555,War
11436,La Bataille d'Orthez,7.74107,War
11437,La Bataille de Lützen,7.79825,War
11438,La Bataille de Corunna-Espagnol,7.37477,War
11441,The Last Panzer Victory: The Battle of Debrecen,5.94861,War
11446,La Ruta del Tesoro,5.77949,Other
11452,Suez '73,6.88039,War
11456,Zilch,5.77524,Other
11464,Alquerque,5.69904,Abstract
11465,48th Panzerkorps,6.89013,War
11466,Peppino the Clown,6.61785,Other
11469,Phalanx: Tactical Warfare 500-100 BC,6.39783,War
11473,Twilight's Last Gleaming,5.78,War
11476,The Atlanta Campaign: Bald Hill and Ezra Church,5.8566,War
11477,The First Arab-Israeli War,6.73158,War
11482,Case Green,5.97267,War
11483,Vittoria,5.53837,War
11484,Dindons & Dragons,4.0546,Other
11494,The Battles of Bull Run: Manassas – June 1861 and August 1862,6.00909,War
11496,Bastogne,5.67742,War
11498,"Centurion: Tactical Warfare, 100B.C.-600A.D.",6.09333,War
11499,"Chariot: Tactical Warfare in the ""Biblical"" Age, 3000-500 BC",6.485,War
11500,"Spartan: Tactical Warfare in the Hellenistic Age, 500-100BC",6.56776,War
11508,Katego,5.56282,Family
11510,"Robert at Bannockburn: The Battle of Bannockburn, 1314",6.5,War
11511,Savage Station,5.38226,War
11512,Leipzig: The Battle of Nations – Napoleon vs. Europe,6.36,War
11514,"Musket & Pike: Tactical Combat, 1550-1680",6.65443,War
11525,Successors,6.02439,War
11527,Friedland,6.11,War
11528,White Eagle Eastward,5.40549,War
11530,Don't Be A Dork: The Ultimate Party Adventure Game!,4.61667,Other
11531,Snake Pit,6.12391,Other
11532,The Eagle and the Sun,3.68529,War
11534,Risorgimento: Italy's Wars of Liberation 1848-1866,6.4475,War
11542,Eclipse,6.14482,Abstract
11547,Carambouille,5.84,Other
11551,Casbah,5.53132,Other
11552,French Foreign Legion,5.92973,War
11556,Money Bags,4.67193,Other
11561,Forgotten Axis: Murmansk 1941,4.82059,War
11562,Crimean War,6.17674,War
11563,Forgotten Axis: The Finnish Campaign,5.05556,War
11573,Celebrity Taboo,5.36284,Other
11581,King,6.96939,Other
11582,Schnapsen,7.02256,Abstract
11585,Sum Swamp,5.48351,Other
11600,Table Soccer,5.56087,Other
11601,Botts and Balls,6.59881,Other
11616,Monopoly: Spider-Man,5.26364,Other
11628,Trivial Pursuit: Young Players Edition Master Game,5.3535,Other
11629,Guillotine,6.66797,Other
11632,Gute Nachbarn,6.43131,Abstract
11635,Harry Potter and the Chamber of Secrets Trivia Game,5.05238,Other
11640,Klabberjass,6.6619,Other
11641,Lemony Snicket's A Series of Unfortunate Events: The Catastrophic Card Game,4.91389,Other
11642,Harry Potter Hogwarts Dueling Club Game,5.26021,Other
11646,Piquet,6.49728,Other
11648,Warmaster,6.54655,War
11670,The Game of Authors,4.48364,Childrens
11673,Spanish Civil War Battles: Vol. 2 – Guadalajara & Penarroya,4.96038,War
11674,"The Lost Battalion: The Meuse-Argonne Offensive, 1918",6.82907,War
11680,Agora,6.2071,Abstract
11683,Chicken of the Sea,4.62195,War
11689,Noble Armada,6.21875,War
11694,Great War at Sea: Cruiser Warfare,6.657,War
11695,Defiant Russia,6.17957,War
11699,Red Steel: Clash Of Armor At Kishinev,6.69236,War
11701,America Triumphant: The Battle of the Bulge,5.4879,War
11703,War of the States: Chickamauga & Chattanooga,5.53059,War
11705,"Lightning: Midway – June 4th to June 6th, 1942",6.48069,War
11706,Lightning: D-Day,5.98166,War
11707,USN Deluxe,6.81429,War
11708,War Between The States 1861-1865 (Second Edition),7.15846,War
11714,Bunte Vögel,4.77375,Other
11726,Knucklebones,5.78333,Other
11730,Diam,6.13715,Abstract
11733,Briscola,6.35394,Other
11737,Curious George Match-a-Balloon Game,3.67949,Childrens
11739,Madeline's House,3.93548,Childrens
11751,No Peeking!,5.35,Childrens
11753,Nim,4.0275,Abstract
11756,Objective: Schmidt,7.22719,War
11760,Knuckling Knights,5.55141,Childrens
11763,Campaign for Guadalcanal: Long Lance & Henderson Field,6.83333,War
11764,The Last Victory: Von Manstein's Backhand Blow,7.23778,War
11765,Capt'n W. Kidd,4.55542,Abstract
11766,SS Amerika,6.20968,War
11778,Cat & Mouse,4.86596,Childrens
11784,Instant Recall,4.74516,Childrens
11790,Leapin' Lily Pads,5.69605,Childrens
11800,Fantasyland,5.33898,Other
11821,Jotto,6.34524,Abstract
11822,The All Canadian Trivia Board Game,4.59677,Other
11824,Spejle Æg,3.65789,Other
11825,Empire of the Sun,8.23804,War
11826,Cyberpunk: The Collectible Card Game,5.42928,CGS
11854,Kameltreiber AG,4.38667,Other
11855,"Tamburlaine the Great: The Battle of Angorra, 1402",6.5641,War
11862,Gay Monopoly,4.26364,Other
11863,Rock Paper Scissors,4.05238,Other
11873,AMC Reel Clues,5.73869,Other
11883,Trivial Pursuit: Volume 6,5.4543,Party
11886,Texas Glory,6.9776,War
11888,Bataille de la Marne 1914,6.06522,War
11889,End of the Iron Dream,6.89167,War
11899,Le Docte Rat,5.75594,Other
11924,Struggle,5.94265,Other
11925,Quizzle,6.64655,Other
11929,Go-Moku,5.96117,Abstract
11930,Renju,6.11293,Abstract
11937,Red Army: The Destruction of Army Group Center,6.20515,War
11938,The Dukes of Hazzard Card Game,4.70286,Other
11945,Linq,6.87487,Party
11949,Shifting Sands: The Campaign for North Africa,7.33482,War
11950,Monopoly: Marvel Comics,4.72886,Other
11954,Paladin,4.79091,Other
11955,Waz Baraz,5.4909,Other
11957,InterSpace,7.37209,Other
11964,Bloody Ridge,6.53765,War
11965,Topminos,5.3834,Abstract
11967,The Seven Days of 1809: Napoleon and the Archduke Charles,7.6323,War
11968,Harry Potter Gnome Toss Card Game,4.39032,Other
11970,Dracula's Revenge,5.61225,Other
11971,Cockroach Poker,6.74644,Party
11972,Monte Rolla,5.81,Childrens
11973,Können Schweine fliegen?,6.4,Other
11974,"Kipp, Kipp, Ahoi!",5.69828,Childrens
11978,The Great War in the Near East,6.75434,War
11983,Fab Fib,5.87624,Other
11988,Australian Railways,7.03276,Strategy
11993,"The Cossacks Are Coming!: The Tannenberg Campaign August and September, 1914 – 2nd Edition",7.36406,War
11997,*Star,7.62105,Abstract
12002,Jambo,7.00572,Strategy
12004,Candamir: The First Settlers,6.17442,Family
12005,Around the World in 80 Days,6.56167,Family
12018,1st Alamein,7.00968,War
12030,WWF Wrestling Challenge,4.9561,Other
12040,Omega Chess,7.50435,Abstract
12043,Stadt - Land - Fluss,5.36984,Other
12049,Wintergewitter,6.71277,War
12054,Oosterbeek Perimeter,8.28108,War
12055,Streets of Stalingrad (Third Edition),7.4589,War
12057,Mini Funny Bunny,5.46164,Childrens
12059,"The Ottomans: Rise of the Turkish Empire, 1453-1571",6.2822,War
12062,Pro Draft,6.048,Other
12063,There's a Moose in the House,5.29893,Childrens
12065,Wig Out!,5.93172,Other
12071,Second Season Pro Football Game,8.14429,Other
12111,Grand National,7.11842,Other
12126,18NL,7.31848,Other
12129,Giant Monster Rampage,7.43548,War
12130,Barons' War,5.29124,War
12131,42,7.05955,Abstract
12133,"Last Battles: East Prussia, 1945",5.41818,War
12134,This Hallowed Ground,7.96453,War
12135,Drive on Stalingrad (Second Edition),6.921,War
12139,The Three Days Of Gettysburg,7.13778,War
12140,Stalingrad Pocket: The Wehrmacht's Greatest Disaster – 2nd Edition,7.36043,War
12141,This Terrible Sound,7.80762,War
12142,"The Battle of Austerlitz, December 2, 1805",6.15479,War
12146,Gonnect,6.94857,Abstract
12157,Unanimo,6.952,Party
12160,APBA American Saddle Racing,6.86,Other
12162,UNO Blitzo,5.19677,Other
12166,Funkenschlag,7.56122,Strategy
12168,D-Day,5.90625,War
12169,Henry V,6.11512,War
12171,Le Passe-Trappe,6.68959,Family
12181,Football Fever,7.7695,Other
12188,Garden Competition,6.79424,Strategy
12189,The Patrons of Venice,6.71905,Other
12202,Battle of the Atlantic,6.60289,War
12205,In a Pickle,4.68919,Party
12211,Ancients II,6.28033,War
12218,"Lille: The Classic Vauban Siege, 1708",6.71892,War
12222,Ancients: Thapsos & Alexandria,5.86667,War
12226,Minestrone,5.70645,Other
12234,"DAK2: The Campaign in North Africa, 1940-1942",8.31537,War
12237,Oil: The Great Adventure,5.22941,Other
12238,Switch 16,4.315,Other
12243,Ziff Zoff,4.6587,Other
12248,Alexander the Great,6.0596,Strategy
12252,Clash Along the Psel: The Battle of Kursk 1943,8.13511,War
12253,ATS Stalingrad: Dzerhezinsky Tractor Works 1942,7.45377,War
12263,Spycraft: Collectible Card Game,6.06856,CGS
12266,Barren Victory,7.42553,War
12267,Dwarves and Dice,6.01765,Childrens
12269,Manassas,8.6579,War
12274,Bloody Legacy,5.35769,Other
12276,Hyborian Gates,3.78857,CGS
12280,Geistesblitz,6.29459,Other
12281,Versailles,5.48889,Other
12282,"Grand Illusion: Mirage of Glory, 1914",6.94743,War
12283,Manifest Destiny,6.50122,Strategy
12289,Rooster Booster,5.41081,Family
12291,Animal Party,5.64945,Childrens
12304,Deluxe Pass the Pigs,5.54199,Other
12308,Towers in Time,3.52258,CGS
12309,Austin Powers CCG,4.63253,CGS
12316,Sky My Husband,5.33333,Other
12317,Brouhaha,5.55171,Other
12318,Typo,6.17891,Family
12319,Quandary,6.4129,Abstract
12325,Perpetual Commotion,6.28237,Other
12346,Spooky Stairs,6.42857,Childrens
12350,Battlestations,7.11525,Thematic
12352,Kineti-Go Magnetic Shuffleboard,6.70312,Other
12355,Brigade Fire and Fury: Wargaming the Civil War with Miniatures,7.61156,War
12367,Weapons of Mass Destruction,6.471,Thematic
12369,APBA Professional Golf,6.87824,Other
12372,Shakespeare: The Bard Game,5.75838,Other
12414,La Batalla de los Arapiles,8.01,War
12420,Throw 'n Go Jenga,5.35287,Other
12422,All Wound Up,4.89869,Family
12424,Daring Eagle,4.83594,Other
12429,Struggle for Stalingrad,6.13333,War
12436,Ogre Bash,3.94595,Other
12451,Pro Action Football,6.2046,Other
12453,Atmosfear: The DVD Board Game,5.62742,Party
12455,Attila: Scourge O'God,6.7093,War
12459,Fortress Berlin,6.55912,War
12477,Bootleggers,6.68493,Thematic
12478,Battlegame Book 4: World War II,6.83784,Other
12479,Battlegame Book 5: Fighting Ships,6.67297,War
12488,WARS Trading Card Game,6.74493,CGS
12491,UNO: Disney,5.14841,Other
12494,Goodnight Moon,4.96537,Childrens
12496,Over the Top! Mons & The Marne,6.07973,War
12501,The Franco-Prussian War,6.67963,War
12505,Clash of the Eagles: Borodino & Friedland,6.65686,War
12506,"La Bataille du Matz, 9-12 juin 1918",6.59394,War
12511,Artifact,4.53056,Other
12519,Fontenoy 1745,5.7,War
12520,"Bélisaire, la gloire de Byzance",6.73553,War
12532,Abuse: The Final Insult,4.07407,Other
12533,Entrapment,7.95503,Abstract
12538,Clocktowers,5.71639,Family
12539,Amnesia,5.83962,Other
12541,Card Games Around the World,6.8451,Other
12544,Dungeons & Dragons Adventure Game: Diablo II Edition,5.46992,Other
12545,The Game of Life: The Simpsons Edition,5.02299,Other
12557,APBA Basketball,3.55455,Other
12562,Sunrise of Victory: The 1942 Campaign in Russia,6.63556,War
12567,Russia Besieged,7.4471,War
12568,Obsession,5.77321,Abstract
12577,Stupiduel,6.02073,Other
12584,Cloak & Dagger,5.96667,Other
12599,Marriage Material,5.13483,Other
12600,G.I. Joe TCG,5.76507,CGS
12601,NFL Showdown,5.18578,Other
12604,Box of Golf: A Classic Golf Board Game,6.26938,Family
12608,Chess960,7.5693,Abstract
12616,Zingo!,5.33076,Childrens
12622,Hour of Glory: Stronghold Kit,7.29826,Thematic
12623,UWO,5.23065,Other
12624,Trivial Pursuit: 10th Anniversary,5.08333,Other
12629,Marching Through Georgia,6.27143,War
12632,Goldbräu,6.40693,Strategy
12633,Mall World,5.52266,Strategy
12634,Hispaniola,5.23544,Other
12637,X-Men: Crisis in the Danger Room,4.48333,Other
12642,Army of Darkness Card Game,5.0153,Other
12649,NFL-opoly,3.67188,Other
12662,To the Wolf's Lair!,6.72424,War
12672,It Came to Pass,5.90434,Other
12675,The Simpsons Group Photo,5.77576,Other
12676,Mini Car Wars,6.42867,War
12679,Scottish Highland Whisky Race,6.08433,Other
12681,Neuland,6.468,Strategy
12683,Cookin' Cookies,5.2617,Other
12691,Warmaster Chess 2000,2.9325,Abstract
12692,Gloom,6.33413,Thematic
12699,"The Army of the Heartland: The Army of Tennessee's Campaigns, 1861-1863",7.24577,War
12715,De Bellis Renationis,6.59741,Other
12718,Shipwreck,7.82258,War
12736,The Battle for Dresden 1813,7.11538,War
12737,Goofy Golf Machine,5.90588,Other
12743,The Battle of Helm's Deep,6.54167,War
12747,Scarabeo,6.3362,Other
12750,1860: Railways on the Isle of Wight,7.91412,Strategy
12761,Ys,6.89003,Strategy
12763,Block It!,4.61549,Abstract
12764,City and Guilds,6.65051,Strategy
12776,Dragonchess,6.36091,Abstract
12784,Twister Moves,4.365,Other
12788,Treasure Island,6.01695,Other
12795,Big League Hockey Manager,5.98462,Other
12811,Strat-O-Matic College Football,6.58571,Other
12819,The Dinosaur Game: Survival or Extinction,5.16393,Other
12822,Weltreise,4.91626,Other
12823,Harry Potter: Adventures Through Hogwarts Electronic 3-D Game,5.97188,Other
12826,Tumblin' Monkeys,5.46855,Childrens
12829,Ice Cream,5.47648,Childrens
12837,Hedgehog's Revenge!,3.74194,Other
12856,Shove Ha'penny,6.02609,Other
12870,Film Frenzy,6.49,Other
12875,Cranium Turbo Edition,6.09206,Party
12876,Cranium Balloon Lagoon,5.23067,Childrens
12891,Friedrich,7.55802,War
12896,La Bataille des Quatre Bras,7.94568,War
12897,La Bataille de Ligny,7.84175,War
12898,La Bataille d'Auerstædt,7.62241,War
12899,La Bataille de Preussisch-Eylau,7.72488,War
12900,"War In The East: The Russo-German Conflict, 1941-45 (Second Edition)",7.165,War
12912,Monopoly: Golf,5.08333,Other
12920,Tension: The Crazy Naming Game,5.66036,Other
12924,Dark Crusade:  The War in the East 1941-45,4.79487,War
12936,Mentalis,7.57031,Abstract
12942,No Thanks!,7.0552,Family
12943,Go Mental,5.75152,Abstract
12947,Napoleon at War: Four Battles,6.67105,Other
12956,FutuRisiKo,5.59095,War
12957,Deadlands: The Great Rail Wars,6.824,Other
12962,Reef Encounter,7.14211,Strategy
12964,Space Station Assault,5.69375,War
12976,The Mutiny on Little Blue,5.17826,Other
12988,Collide-O!,5.14773,Other
12995,Dungeon Twister,6.81561,Strategy
12996,Quips,4.83743,Childrens
13004,The Downfall of Pompeii,7.13964,Family
13005,Tanz der Hornochsen!,6.51071,Family
13010,Interpol,5.72925,Other
13016,"White Death: Velikiye Luki, The Stalingrad of the North",7.63689,War
13017,Animal Olympics,5.88231,Other
13024,James Bond 007,5.55312,Other
13026,Strato Chess,5.85,Abstract
13031,ABC Monday Night Football,6,Other
13039,Digimon Digi-Battle Card Game,5.00403,CGS
13052,Missionary: Impossible,5.16579,Other
13070,Revolución,5.48438,Other
13072,Airways,5.65789,Other
13077,Wizard's Garden,6.96,Abstract
13084,Volcano,6.82877,Abstract
13089,Wie ich die Welt sehe...,6.90223,Other
13091,Megaman NT Warrior Trading Card Game,5.90857,CGS
13094,Category Game,6.7,Other
13103,Triolet,6.32128,Abstract
13106,Dad's Army,5.20833,Other
13114,8 1/2,4.97436,Other
13115,Taki,5.62314,Other
13122,Antiquity,7.88184,Strategy
13123,500,6.96547,Family
13126,Tetris Tower 3D,5.13136,Other
13128,Yundao,5.05069,Abstract
13132,Monopoly Junior: Dig 'n Dinos,4.24167,Childrens
13154,Monopoly: Popular Edition,5.29091,Other
13164,Mastermind for Kids,5.36477,Childrens
13165,Owzthat,5.1037,Other
13166,Let's Go Fishin',4.3999,Childrens
13172,Kung Fu Fighting,6.13196,Thematic
13182,Korsun Pocket: Little Stalingrad on the Dnepr,7.88962,War
13208,Thin Ice,4.58203,Other
13212,Deluxe G.E.V.,7.50667,War
13218,Austerlitz 1805: Partie Sud,7.52273,War
13223,The Best of Chronology,6.73691,Party
13224,The Conquerors: Alexander the Great,6.14082,War
13226,Maask,5.75102,Other
13230,Gobblet Gobblers,6.27737,Childrens
13239,Dragon Master,5.09559,Other
13240,Panzer Miniatures Rules: A Tactical Game of Armored Combat,7.99667,War
13254,Second World War at Sea: Midway,7.15609,War
13260,Clown,4.96067,Childrens
13262,Spider & Fly,5.06571,Other
13266,Three Days of Gettysburg (Third Edition),7.60026,War
13269,"Lee Moves North: The Confederate Summer Offensive, 1862 & 1863",7.01765,War
13284,Cowpoker,5.44937,Other
13285,Dungeonville,4.8665,Thematic
13286,Gloria Mundi,6.06444,Strategy
13290,Byzantium Reborn,6.71111,War
13293,Vs System,6.78529,CGS
13295,Sorry! Card Revenge,5.74845,Other
13299,1918: Imperial Germany's Last Chance,6.31875,War
13301,Caribbean,6.19308,Family
13306,Die Bar-Bolz-Bande: Das Würfelspiel,3.85484,Other
13308,Niagara,6.47568,Family
13309,Sicilianos,5.13918,Other
13314,"Beyond Normandy: The British Advance, 1944 – A Panzer Grenadier Game",6.90129,War
13316,Operation Overlord: Normandy 1944,6.88125,War
13328,Chromino,5.8127,Abstract
13333,Dead Hand Chaos Poker,5.28745,Other
13341,"Empyrean, Inc.",6.22574,Other
13347,Plunder,6.13866,Thematic
13350,Jeu du Nain Jaune,5.36408,Other
13354,Car Wars Compendium,7.15762,Other
13356,Yes! No! Game,4.04,Other
13357,Like Minds,5.69899,Other
13359,Leapfrog,6.22907,Other
13361,Spaceopoly,6.42553,Other
13362,"Warhammer 40,000 (Fourth Edition)",6.49904,War
13363,CAV: Combat Assault Vehicle,6.7485,War
13367,Charades for Kids,5.44851,Childrens
13371,"Ia Drang, Vietnam 1965",5.98548,War
13373,Choco,4.58202,Childrens
13375,Submarine,5.70568,Family
13378,Mukden: Climax of the Russo-Japanese War,6.05151,War
13384,Election USA,5.11877,Other
13388,The Moscow Option: Guderian's Gambit,6.39444,War
13392,"Perfidious Albion: Napoleon's (Hypothetical) Invasion of England, 1814",5.65714,War
13403,Three Battles of Manassas,7.8673,War
13412,What's in Ned's Head?,5.15873,Other
13416,Tim Burton's The Nightmare Before Christmas Game,4.26618,Other
13436,Hopp hopp Häschen,5.76173,Childrens
13440,Horrific,5.79861,Other
13447,Harry Potter and the Sorcerer's Stone The Game,3.65864,Abstract
13454,Playing With Pyramids,7.4244,Other
13460,Obscura Tempora,5.47669,Other
13464,Alfapet,5.56507,Family
13475,Schätzbold,5.64091,Other
13477,Space Shuffle,5.18475,Other
13478,StrataGem,5.27435,Abstract
13488,Redneck Life,5.34375,Other
13490,Ballons,5.34535,Childrens
